automation.air_quality_alert | Air Quality Alert
sensor.papaya_aux_fan_speed | Aux fan speed
sensor.papaya_bed_temperature | Bed temperature
sensor.papaya_chamber_fan_speed | Chamber fan speed
sensor.papaya_cooling_fan_speed | Cooling fan speed
sensor.papaya_current_layer | Current layer
sensor.papaya_current_stage | Current stage
sensor.papaya_display_name | Papaya Display Name
sensor.papaya_end_time | End time
sensor.papaya_gcode_file_downloaded | Gcode file downloaded
sensor.papaya_gcode_filename | Gcode filename
sensor.papaya_heatbreak_fan_speed | Heatbreak fan speed
sensor.papaya_ip_address | IP address
sensor.papaya_last_display_name | Papaya Last Display Name
sensor.papaya_last_object | Papaya Last Object
sensor.papaya_model_download | Model download
sensor.papaya_mqtt_connection_mode | MQTT connection mode
sensor.papaya_nozzle_size | Nozzle size
sensor.papaya_nozzle_target_temperature | Nozzle target temperature
sensor.papaya_nozzle_temperature | Nozzle temperature
sensor.papaya_nozzle_type | Nozzle type
sensor.papaya_object | Papaya Object
sensor.papaya_print_bed_type | Print bed type
sensor.papaya_print_length | Print length
sensor.papaya_print_progress | Print progress
sensor.papaya_print_status | Print status
sensor.papaya_print_type | Print type
sensor.papaya_print_weight | Print weight
sensor.papaya_printable_objects | Printable objects
sensor.papaya_printer_name | Printer name
sensor.papaya_remaining_time | Remaining time
sensor.papaya_sd_card_status | SD card status
sensor.papaya_skipped_objects | Skipped objects
sensor.papaya_speed_profile | Speed profile
sensor.papaya_start_time | Start time
sensor.papaya_target_bed_temperature | Bed target temperature
sensor.papaya_task_name | Task name
sensor.papaya_total_layer_count | Total layer count
sensor.papaya_total_usage | Total usage
sensor.papaya_wi_fi_signal | Wi-Fi signal
sensor.pineapple_bed_temperature | Bed Temperature
sensor.pineapple_cfs_box_0_slot_1_color | CFS Box 0 Slot 1 Color
sensor.pineapple_cfs_box_0_slot_1_filament | CFS Box 0 Slot 1 Filament
sensor.pineapple_cfs_box_0_slot_1_percent | CFS Box 0 Slot 1 Percent
sensor.pineapple_cfs_external_color | CFS External Color
sensor.pineapple_cfs_external_filament | CFS External Filament
sensor.pineapple_cfs_external_percent | CFS External Percent
sensor.pineapple_chamber_temperature | Chamber Temperature
sensor.pineapple_current_object | Current Object
sensor.pineapple_display_name | Pineapple Display Name
sensor.pineapple_filament_status | Filament Status
sensor.pineapple_flow_rate | Flow Rate %
sensor.pineapple_last_display_name | Pineapple Last Display Name
sensor.pineapple_last_object | Pineapple Last Object
sensor.pineapple_max_bed_temperature | Max Bed Temperature
sensor.pineapple_max_nozzle_temperature | Max Nozzle Temperature
sensor.pineapple_model | Model
sensor.pineapple_nozzle_temperature | Nozzle Temperature
sensor.pineapple_object | Pineapple Object
sensor.pineapple_object_count | Object Count
sensor.pineapple_position_x | Position X
sensor.pineapple_position_y | Position Y
sensor.pineapple_position_z | Position Z
sensor.pineapple_print_control | Print Control
sensor.pineapple_print_job_time | Print Job Time
sensor.pineapple_print_progress | Print Progress
sensor.pineapple_print_speed | Print Speed %
sensor.pineapple_print_status | Print Status
sensor.pineapple_print_time_left | Print Time Left
sensor.pineapple_real_time_flow | Real-Time Flow
sensor.pineapple_system | System
sensor.pineapple_total_layers | Total Layers
sensor.pineapple_used_material_length | Used Material Length
sensor.pineapple_working_layer | Working Layer
sensor.print_status_labels | Print Status Labels
sensor.strawberry_aux_fan_speed | Aux fan speed
sensor.strawberry_bed_temperature | Bed temperature
sensor.strawberry_chamber_fan_speed | Chamber fan speed
sensor.strawberry_cooling_fan_speed | Cooling fan speed
sensor.strawberry_current_layer | Current layer
sensor.strawberry_current_stage | Current stage
sensor.strawberry_display_name | Strawberry Display Name
sensor.strawberry_end_time | End time
sensor.strawberry_gcode_file_downloaded | Gcode file downloaded
sensor.strawberry_gcode_filename | Gcode filename
sensor.strawberry_heatbreak_fan_speed | Heatbreak fan speed
sensor.strawberry_ip_address | IP address
sensor.strawberry_last_display_name | Strawberry Last Display Name
sensor.strawberry_last_object | Strawberry Last Object
sensor.strawberry_model_download | Model download
sensor.strawberry_mqtt_connection_mode | MQTT connection mode
sensor.strawberry_nozzle_size | Nozzle size
sensor.strawberry_nozzle_target_temperature | Nozzle target temperature
sensor.strawberry_nozzle_temperature | Nozzle temperature
sensor.strawberry_nozzle_type | Nozzle type
sensor.strawberry_object | Strawberry Object
sensor.strawberry_print_bed_type | Print bed type
sensor.strawberry_print_length | Print length
sensor.strawberry_print_progress | Print progress
sensor.strawberry_print_status | Print status
sensor.strawberry_print_type | Print type
sensor.strawberry_print_weight | Print weight
sensor.strawberry_printable_objects | Printable objects
sensor.strawberry_printer_name | Printer name
sensor.strawberry_remaining_time | Remaining time
sensor.strawberry_sd_card_status | SD card status
sensor.strawberry_skipped_objects | Skipped objects
sensor.strawberry_speed_profile | Speed profile
sensor.strawberry_start_time | Start time
sensor.strawberry_target_bed_temperature | Bed target temperature
sensor.strawberry_task_name | Task name
sensor.strawberry_total_layer_count | Total layer count
sensor.strawberry_total_usage | Total usage
sensor.strawberry_wi_fi_signal | Wi-Fi signal
sensor.sun_next_dawn | Next dawn
sensor.sun_next_dusk | Next dusk
sensor.sun_next_midnight | Next midnight
sensor.sun_next_noon | Next noon
sensor.sun_next_rising | Next rising
sensor.sun_next_setting | Next setting
sensor.total_power_alarm_battery | Battery
sensor.total_power_alarm_power_failure_alarm | Power failure alarm
sensor.total_power_alarm_power_failure_alarm_beep | Power failure alarm beep
sensor.total_power_alarm_power_failure_alarm_mute | Power failure alarm mute
sensor.total_power_alarm_power_failure_alarm_volume | Power failure alarm volume
sensor.water_leak_sensor_battery | Battery
sensor.woodshop_climate_sensor_battery | Battery
sensor.woodshop_climate_sensor_humidity | Humidity
sensor.woodshop_climate_sensor_temperature | Temperature
switch.air_quality_post_data_to_airgradient | Post data to Airgradient
switch.huckleberry_enable_camera | Enable camera
switch.huckleberry_use_image_sensor_camera | Use image sensor camera
switch.kiwi_enable_camera | Enable camera
switch.kiwi_use_image_sensor_camera | Use image sensor camera
switch.mango_enable_camera | Enable camera
switch.mango_use_image_sensor_camera | Use image sensor camera
switch.papaya_enable_camera | Enable camera
switch.papaya_use_image_sensor_camera | Use image sensor camera
switch.strawberry_enable_camera | Enable camera
switch.strawberry_use_image_sensor_camera | Use image sensor camera
switch.water_leak_sensor_enable_siren | Enable siren
update.air_quality_firmware | Firmware
update.esphome_device_builder_update | Update
update.filament_store_light_firmware | Firmware
update.home_assistant_core_update | Update
update.home_assistant_operating_system_update | Update
update.home_assistant_supervisor_update | Update
update.sqlite_web_update | Update
update.studio_code_server_update | Update
update.tailscale_update | Update
update.terminal_ssh_update | Update
update.water_leak_sensor_firmware | Firmware
